sample,filter,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,crash_buys
2011,False,24,5.3373,0.1247,-0.3565,0.184,0.733,-0.34374342708432404,-0.2409823399918367,0.0954730121880441,73
2011,False,25,5.1395,0.1225,-0.3565,0.1842,0.721,-0.3474331780394059,-0.24524985707512703,0.09721416134648868,74
2011,False,26,6.0233,0.1321,-0.3565,0.1858,0.763,-0.347433178039406,-0.22394787298978425,0.09053975623911782,81
2011,False,27,6.1462,0.1334,-0.3565,0.1863,0.767,-0.3474331780394059,-0.19894498158695295,0.08183401044689495,88
2011,False,28,6.4923,0.1368,-0.3565,0.1879,0.778,-0.3474331780394059,-0.19894498158695295,0.08183401044689495,91
2011,False,29,7.0109,0.1417,-0.3565,0.1891,0.797,-0.3474331780394059,-0.19045338479838458,0.08154381892048752,90
2011,False,30,7.1956,0.1433,-0.3565,0.1891,0.805,-0.347433178039406,-0.19045338479838492,0.08096343586767267,87
2011,False,31,7.2952,0.1442,-0.3565,0.1892,0.809,-0.3474331780394059,-0.19045338479838458,0.08096343586767267,86
2011,False,32,7.049,0.142,-0.3642,0.1895,0.798,-0.3584953398041658,-0.20417663169372702,0.08850841555426582,88
2011,False,33,6.9833,0.1414,-0.3642,0.1896,0.794,-0.3584953398041658,-0.20417663169372702,0.08850841555426582,87
2011,False,34,6.7391,0.1391,-0.3642,0.1898,0.783,-0.3584953398041659,-0.20417663169372713,0.09112013929193268,90
2011,False,35,6.5472,0.1373,-0.3642,0.1904,0.773,-0.3584953398041658,-0.20417663169372702,0.09112013929193268,87
2011,False,36,6.8525,0.1402,-0.3642,0.191,0.784,-0.3584953398041658,-0.20417663169372702,0.09112013929193268,96
2011,False,37,7.2453,0.1437,-0.3642,0.1913,0.8,-0.3584953398041659,-0.20417663169372713,0.09112013929193268,101
2011,False,38,7.4329,0.1454,-0.3642,0.1922,0.804,-0.3584953398041659,-0.189669537314188,0.08850841555426582,103
2011,False,39,7.4265,0.1453,-0.3642,0.1923,0.804,-0.35849533980416604,-0.189669537314188,0.08850841555426582,115
2011,False,40,7.3493,0.1447,-0.3642,0.1925,0.8,-0.3584953398041659,-0.1896695373141879,0.08850841555426582,121
2011,False,41,6.9308,0.1409,-0.3642,0.1936,0.78,-0.3584953398041658,-0.18966953731418779,0.0922809053975624,129
2011,False,42,6.9262,0.1409,-0.3642,0.194,0.778,-0.3584953398041659,-0.18966953731418779,0.09170052234474753,124
2011,False,43,6.9408,0.141,-0.3642,0.194,0.779,-0.3584953398041658,-0.18966953731418779,0.09170052234474753,118
2011,False,44,7.0697,0.1422,-0.3642,0.1943,0.783,-0.3584953398041658,-0.1831446321749044,0.0914103308183401,116
2011,False,45,7.3343,0.1445,-0.3642,0.1953,0.791,-0.3584953398041659,-0.18314463217490473,0.09286128845037725,124
2011,False,46,7.0032,0.1416,-0.3642,0.1955,0.777,-0.3584953398041658,-0.1831446321749045,0.0934416715031921,121
2011,False,47,7.3101,0.1443,-0.3642,0.196,0.788,-0.3584953398041658,-0.19837882866967338,0.0902495647127104,121
2011,False,48,7.2513,0.1438,-0.3642,0.196,0.786,-0.3584953398041657,-0.19837882866967327,0.0902495647127104,117
2011,False,49,7.19,0.1433,-0.3642,0.1962,0.783,-0.3584953398041658,-0.19837882866967327,0.09518282066163668,112
2011,False,50,7.1952,0.1433,-0.3642,0.1966,0.782,-0.3584953398041658,-0.19837882866967338,0.09518282066163668,112
