ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
100,0.05,0.75,30,1.8601,0.2346,-0.4051,0.2979,0.918
100,0.05,0.75,31,1.8858,0.2369,-0.4051,0.298,0.924
125,0.0,0.0,28,0.95,0.1433,-0.4776,0.2668,0.68
125,0.0,0.0,29,0.9578,0.1443,-0.4776,0.2669,0.683
125,0.0,0.0,30,0.9663,0.1453,-0.4776,0.267,0.687
125,0.0,0.0,31,0.9851,0.1474,-0.4776,0.2671,0.694
125,0.0,0.25,28,1.1528,0.1663,-0.4354,0.2701,0.755
125,0.0,0.25,29,1.1614,0.1672,-0.4354,0.2702,0.758
125,0.0,0.25,30,1.1708,0.1682,-0.4354,0.2703,0.761
125,0.0,0.25,31,1.1915,0.1704,-0.4354,0.2704,0.769
125,0.0,0.5,28,1.3514,0.1871,-0.402,0.2796,0.807
125,0.0,0.5,29,1.3608,0.188,-0.402,0.2797,0.81
125,0.0,0.5,30,1.3711,0.1891,-0.402,0.2798,0.813
125,0.0,0.5,31,1.3937,0.1913,-0.402,0.2798,0.821
125,0.0,0.75,28,1.5591,0.2074,-0.4051,0.295,0.842
125,0.0,0.75,29,1.5694,0.2084,-0.4051,0.2951,0.844
125,0.0,0.75,30,1.5805,0.2094,-0.4051,0.2952,0.847
125,0.0,0.75,31,1.6052,0.2117,-0.4051,0.2953,0.854
125,0.02,0.0,28,0.9409,0.1423,-0.4776,0.2702,0.671
125,0.02,0.0,29,0.9487,0.1432,-0.4776,0.2703,0.674
125,0.02,0.0,30,0.9572,0.1442,-0.4776,0.2704,0.678
125,0.02,0.0,31,0.9747,0.1462,-0.4776,0.2705,0.685
125,0.02,0.25,28,1.1642,0.1675,-0.4354,0.2733,0.753
125,0.02,0.25,29,1.1728,0.1684,-0.4354,0.2734,0.756
125,0.02,0.25,30,1.1823,0.1694,-0.4354,0.2735,0.76
125,0.02,0.25,31,1.2018,0.1715,-0.4354,0.2736,0.767
125,0.02,0.5,28,1.4041,0.1924,-0.402,0.2827,0.818
125,0.02,0.5,29,1.4138,0.1933,-0.402,0.2828,0.821
125,0.02,0.5,30,1.4242,0.1944,-0.402,0.2829,0.824
125,0.02,0.5,31,1.446,0.1965,-0.402,0.283,0.831
125,0.02,0.75,28,1.661,0.2169,-0.4051,0.298,0.865
125,0.02,0.75,29,1.6717,0.2179,-0.4051,0.2981,0.868
125,0.02,0.75,30,1.6833,0.2189,-0.4051,0.2982,0.871
125,0.02,0.75,31,1.7073,0.2211,-0.4051,0.2982,0.877
125,0.03,0.0,28,0.8993,0.1373,-0.4689,0.2715,0.652
125,0.03,0.0,29,0.9069,0.1382,-0.4689,0.2715,0.655
125,0.03,0.0,30,0.9152,0.1392,-0.4689,0.2716,0.658
125,0.03,0.0,31,0.9324,0.1413,-0.4689,0.2717,0.666
125,0.03,0.25,28,1.1291,0.1637,-0.4285,0.2745,0.738
125,0.03,0.25,29,1.1376,0.1646,-0.4285,0.2746,0.741
125,0.03,0.25,30,1.1469,0.1656,-0.4285,0.2747,0.745
125,0.03,0.25,31,1.1661,0.1677,-0.4285,0.2748,0.752
125,0.03,0.5,28,1.3779,0.1897,-0.402,0.2837,0.808
125,0.03,0.5,29,1.3874,0.1907,-0.402,0.2838,0.811
125,0.03,0.5,30,1.3978,0.1917,-0.402,0.2839,0.814
125,0.03,0.5,31,1.4193,0.1939,-0.402,0.2839,0.821
125,0.03,0.75,28,1.6463,0.2155,-0.4051,0.2986,0.86
125,0.03,0.75,29,1.657,0.2165,-0.4051,0.2986,0.862
125,0.03,0.75,30,1.6685,0.2176,-0.4051,0.2987,0.865
125,0.03,0.75,31,1.6924,0.2198,-0.4051,0.2988,0.872
125,0.05,0.0,28,1.1365,0.1645,-0.4463,0.2759,0.739
125,0.05,0.0,29,1.145,0.1654,-0.4463,0.2759,0.742
125,0.05,0.0,30,1.1544,0.1664,-0.4463,0.276,0.745
125,0.05,0.0,31,1.1737,0.1685,-0.4463,0.2761,0.752
125,0.05,0.25,28,1.3229,0.1842,-0.4142,0.2786,0.8
125,0.05,0.25,29,1.3322,0.1851,-0.4142,0.2787,0.803
125,0.05,0.25,30,1.3423,0.1862,-0.4142,0.2788,0.806
125,0.05,0.25,31,1.3633,0.1883,-0.4142,0.2789,0.813
125,0.05,0.5,28,1.5182,0.2035,-0.402,0.2869,0.846
125,0.05,0.5,29,1.5283,0.2045,-0.402,0.287,0.849
125,0.05,0.5,30,1.5393,0.2055,-0.402,0.287,0.852
125,0.05,0.5,31,1.562,0.2077,-0.402,0.2871,0.859
125,0.05,0.75,28,1.7223,0.2225,-0.4051,0.3004,0.877
125,0.05,0.75,29,1.7332,0.2235,-0.4051,0.3004,0.88
125,0.05,0.75,30,1.7451,0.2245,-0.4051,0.3005,0.883
125,0.05,0.75,31,1.7697,0.2267,-0.4051,0.3006,0.889
150,0.0,0.0,28,1.3357,0.1855,-0.4141,0.2726,0.816
150,0.0,0.0,29,1.3451,0.1864,-0.4141,0.2727,0.819
150,0.0,0.0,30,1.3553,0.1875,-0.4141,0.2728,0.822
150,0.0,0.0,31,1.4218,0.1941,-0.4141,0.2736,0.842
150,0.0,0.25,28,1.4672,0.1986,-0.4081,0.2756,0.853
150,0.0,0.25,29,1.4771,0.1995,-0.4081,0.2756,0.856
