sample,resell,crash,crash_buy,sell,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
5y,85,35,0.5,0.5,0.8265,0.1282,-0.364,0.2278,0.646
5y,85,40,1.0,1.0,0.8357,0.1293,-0.364,0.2278,0.65
5y,85,40,0.5,0.5,0.8265,0.1282,-0.364,0.2278,0.646
5y,90,10,1.0,1.0,0.8219,0.1276,-0.364,0.2278,0.643
5y,90,10,0.5,0.5,0.7839,0.1229,-0.3585,0.2268,0.627
5y,90,15,1.0,1.0,0.8219,0.1276,-0.364,0.2278,0.643
5y,90,15,0.5,0.5,0.7839,0.1229,-0.3585,0.2268,0.627
5y,90,20,1.0,1.0,0.8357,0.1293,-0.364,0.2278,0.65
5y,90,20,0.5,0.5,0.8151,0.1268,-0.364,0.2277,0.64
5y,90,25,1.0,1.0,0.8357,0.1293,-0.364,0.2278,0.65
5y,90,25,0.5,0.5,0.8256,0.1281,-0.364,0.2278,0.645
5y,90,30,1.0,1.0,0.8357,0.1293,-0.364,0.2278,0.65
5y,90,30,0.5,0.5,0.8264,0.1282,-0.364,0.2278,0.646
5y,90,35,1.0,1.0,0.8357,0.1293,-0.364,0.2278,0.65
5y,90,35,0.5,0.5,0.8265,0.1282,-0.364,0.2278,0.646
5y,90,40,1.0,1.0,0.8357,0.1293,-0.364,0.2278,0.65
5y,90,40,0.5,0.5,0.8265,0.1282,-0.364,0.2278,0.646
2011,55,10,1.0,1.0,0.9144,0.0422,-0.2533,0.1265,0.391
2011,55,10,0.5,0.5,1.3242,0.0552,-0.1869,0.1244,0.495
2011,55,15,1.0,1.0,0.9724,0.0442,-0.2526,0.137,0.385
2011,55,15,0.5,0.5,1.2423,0.0528,-0.235,0.1382,0.442
2011,55,20,1.0,1.0,1.4797,0.0595,-0.2392,0.1474,0.467
2011,55,20,0.5,0.5,1.8982,0.0701,-0.2365,0.1477,0.534
2011,55,25,1.0,1.0,2.0049,0.0726,-0.2392,0.1541,0.533
2011,55,25,0.5,0.5,2.5822,0.0846,-0.2385,0.1554,0.602
2011,55,30,1.0,1.0,2.5695,0.0844,-0.2403,0.1592,0.59
2011,55,30,0.5,0.5,3.6105,0.1022,-0.2389,0.1609,0.687
2011,55,35,1.0,1.0,2.183,0.0765,-0.2403,0.1622,0.537
2011,55,35,0.5,0.5,3.7515,0.1043,-0.2389,0.1643,0.688
2011,55,40,1.0,1.0,2.9558,0.0915,-0.2403,0.1676,0.608
2011,55,40,0.5,0.5,4.4848,0.1144,-0.2498,0.1698,0.725
2011,60,10,1.0,1.0,1.2616,0.0533,-0.2196,0.1282,0.47
2011,60,10,0.5,0.5,1.6436,0.0638,-0.1869,0.1265,0.554
2011,60,15,1.0,1.0,1.3068,0.0547,-0.2392,0.139,0.453
2011,60,15,0.5,0.5,1.539,0.0611,-0.2352,0.1398,0.495
2011,60,20,1.0,1.0,1.7845,0.0674,-0.2536,0.1497,0.512
2011,60,20,0.5,0.5,2.2468,0.0779,-0.237,0.1491,0.579
2011,60,25,1.0,1.0,2.418,0.0814,-0.2536,0.1563,0.58
2011,60,25,0.5,0.5,2.9184,0.0908,-0.2386,0.1569,0.634
2011,60,30,1.0,1.0,2.9851,0.092,-0.2536,0.1613,0.628
2011,60,30,0.5,0.5,3.8436,0.1057,-0.2454,0.1626,0.701
2011,60,35,1.0,1.0,2.4859,0.0827,-0.2459,0.1643,0.567
2011,60,35,0.5,0.5,3.7548,0.1044,-0.2476,0.1662,0.682
2011,60,40,1.0,1.0,2.8478,0.0896,-0.2392,0.1712,0.588
2011,60,40,0.5,0.5,4.2567,0.1114,-0.2567,0.1718,0.702
2011,65,10,1.0,1.0,1.7077,0.0655,-0.212,0.132,0.548
2011,65,10,0.5,0.5,1.7686,0.067,-0.2044,0.1334,0.554
2011,65,15,1.0,1.0,1.9843,0.0721,-0.2392,0.1442,0.556
2011,65,15,0.5,0.5,1.8225,0.0683,-0.2356,0.1461,0.527
2011,65,20,1.0,1.0,2.2645,0.0782,-0.2718,0.1554,0.564
2011,65,20,0.5,0.5,2.5148,0.0833,-0.2718,0.1559,0.593
2011,65,25,1.0,1.0,2.5417,0.0838,-0.2718,0.1621,0.579
2011,65,25,0.5,0.5,2.9163,0.0908,-0.276,0.1629,0.617
2011,65,30,1.0,1.0,3.4228,0.0993,-0.2718,0.1685,0.647
2011,65,30,0.5,0.5,3.7496,0.1043,-0.282,0.1688,0.674
2011,65,35,1.0,1.0,3.061,0.0933,-0.2718,0.1711,0.608
2011,65,35,0.5,0.5,3.8294,0.1055,-0.2825,0.1721,0.67
2011,65,40,1.0,1.0,3.8653,0.106,-0.2718,0.1762,0.661
2011,65,40,0.5,0.5,4.3652,0.1129,-0.2833,0.1763,0.696
2011,70,10,1.0,1.0,1.7602,0.0668,-0.2138,0.1458,0.517
2011,70,10,0.5,0.5,2.3916,0.0809,-0.24,0.1475,0.602
2011,70,15,1.0,1.0,2.0241,0.073,-0.2392,0.1526,0.539
2011,70,15,0.5,0.5,2.4195,0.0814,-0.2558,0.1569,0.579
2011,70,20,1.0,1.0,2.4053,0.0811,-0.294,0.1629,0.562
2011,70,20,0.5,0.5,3.2308,0.0962,-0.294,0.1647,0.641
2011,70,25,1.0,1.0,2.7196,0.0872,-0.3497,0.171,0.576
2011,70,25,0.5,0.5,3.5566,0.1014,-0.3481,0.172,0.649
2011,70,30,1.0,1.0,3.8386,0.1056,-0.3497,0.1772,0.657
2011,70,30,0.5,0.5,4.3956,0.1133,-0.3485,0.1773,0.695
2011,70,35,1.0,1.0,3.3902,0.0988,-0.3497,0.179,0.617
2011,70,35,0.5,0.5,4.2892,0.1119,-0.3496,0.1799,0.681
2011,70,40,1.0,1.0,4.473,0.1143,-0.3497,0.184,0.682
2011,70,40,0.5,0.5,4.7453,0.1177,-0.3497,0.1836,0.7
2011,75,10,1.0,1.0,1.8469,0.0689,-0.2432,0.1623,0.493
2011,75,10,0.5,0.5,2.6752,0.0864,-0.3157,0.1673,0.58
2011,75,15,1.0,1.0,2.3937,0.0809,-0.2432,0.1666,0.552
2011,75,15,0.5,0.5,3.0505,0.0931,-0.3175,0.1718,0.606
2011,75,20,1.0,1.0,3.0285,0.0928,-0.294,0.174,0.598
