sample,structure,interval,step,crash_frac,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,bench_return,bench_sharpe
5y,F79,7,0.1,0.0,0.6631,0.1072,-0.3612,0.2159,0.582,0.8025,0.633
5y,F79,7,0.1,0.25,0.814,0.1267,-0.364,0.2184,0.657,0.8025,0.633
5y,F79,7,0.1,0.5,0.8784,0.1346,-0.364,0.2191,0.688,0.8025,0.633
5y,F79,7,0.1,0.75,0.9068,0.138,-0.364,0.2194,0.701,0.8025,0.633
5y,F79,7,0.1,1.0,0.9242,0.14,-0.364,0.2196,0.709,0.8025,0.633
5y,F79,7,0.15,0.0,0.7135,0.1139,-0.364,0.2186,0.605,0.8025,0.633
5y,F79,7,0.15,0.25,0.8094,0.1261,-0.364,0.2195,0.653,0.8025,0.633
5y,F79,7,0.15,0.5,0.8485,0.1309,-0.364,0.2199,0.672,0.8025,0.633
5y,F79,7,0.15,0.75,0.8667,0.1331,-0.364,0.2202,0.68,0.8025,0.633
5y,F79,7,0.15,1.0,0.8797,0.1347,-0.364,0.2203,0.686,0.8025,0.633
5y,F79,7,0.2,0.0,0.7357,0.1167,-0.364,0.2205,0.613,0.8025,0.633
5y,F79,7,0.2,0.25,0.7874,0.1233,-0.364,0.2207,0.639,0.8025,0.633
5y,F79,7,0.2,0.5,0.8121,0.1264,-0.364,0.221,0.651,0.8025,0.633
5y,F79,7,0.2,0.75,0.8255,0.1281,-0.364,0.2211,0.658,0.8025,0.633
5y,F79,7,0.2,1.0,0.8349,0.1292,-0.364,0.2212,0.662,0.8025,0.633
5y,F79,7,0.3,0.0,0.7563,0.1194,-0.364,0.2223,0.62,0.8025,0.633
5y,F79,7,0.3,0.25,0.7783,0.1222,-0.364,0.2224,0.631,0.8025,0.633
5y,F79,7,0.3,0.5,0.7915,0.1238,-0.364,0.2226,0.638,0.8025,0.633
5y,F79,7,0.3,0.75,0.7983,0.1247,-0.364,0.2226,0.641,0.8025,0.633
5y,F79,7,0.3,1.0,0.8033,0.1253,-0.364,0.2226,0.644,0.8025,0.633
5y,F79,7,0.4,0.0,0.7604,0.1199,-0.364,0.2232,0.621,0.8025,0.633
5y,F79,7,0.4,0.25,0.7753,0.1218,-0.364,0.2233,0.628,0.8025,0.633
5y,F79,7,0.4,0.5,0.7853,0.1231,-0.364,0.2234,0.633,0.8025,0.633
5y,F79,7,0.4,0.75,0.7905,0.1237,-0.364,0.2234,0.636,0.8025,0.633
5y,F79,7,0.4,1.0,0.7943,0.1242,-0.364,0.2234,0.638,0.8025,0.633
5y,F79,7,0.5,0.0,0.7661,0.1206,-0.364,0.2239,0.623,0.8025,0.633
5y,F79,7,0.5,0.25,0.7722,0.1214,-0.364,0.224,0.626,0.8025,0.633
5y,F79,7,0.5,0.5,0.7821,0.1227,-0.364,0.224,0.631,0.8025,0.633
