sample,ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,episodes
5y,100,0.03,0.25,30,0.8397,0.1298,-0.2241,0.1434,0.927,-0.21110798124506813,-0.01876596456588464,0.005333333333333333,8
5y,100,0.03,0.25,31,0.8544,0.1316,-0.2241,0.1435,0.938,-0.21110798124506813,-0.01876596456588464,0.005333333333333333,8
5y,100,0.03,0.5,28,0.8344,0.1292,-0.2674,0.1589,0.847,-0.25705718608921446,-0.0451112889727453,0.02266666666666667,8
5y,100,0.03,0.5,29,0.8329,0.129,-0.2674,0.1589,0.846,-0.25705718608921446,-0.0451112889727453,0.02266666666666667,8
5y,100,0.03,0.5,30,0.835,0.1293,-0.2674,0.159,0.848,-0.25705718608921446,-0.0451112889727453,0.02266666666666667,8
5y,100,0.03,0.5,31,0.8497,0.1311,-0.2674,0.159,0.858,-0.25705718608921446,-0.0451112889727453,0.02266666666666667,8
5y,100,0.03,0.75,28,0.8253,0.1281,-0.3122,0.184,0.75,-0.30252192294784097,-0.07501310022030816,0.042666666666666665,8
5y,100,0.03,0.75,29,0.8238,0.1279,-0.3122,0.184,0.749,-0.30252192294784097,-0.07501310022030816,0.042666666666666665,8
5y,100,0.03,0.75,30,0.8259,0.1281,-0.3122,0.184,0.75,-0.30252192294784097,-0.07501310022030816,0.042666666666666665,8
5y,100,0.03,0.75,31,0.8406,0.1299,-0.3122,0.1841,0.759,-0.30252192294784097,-0.07501310022030816,0.042666666666666665,8
2011,100,0.03,0.0,28,3.2519,0.0965,-0.1944,0.1253,0.8,-0.1647415274912961,-0.13068126679395753,0.13987231572838074,23
2011,100,0.03,0.0,29,3.22,0.096,-0.1944,0.1262,0.791,-0.164741527491296,-0.13068126679395753,0.14016250725478815,23
2011,100,0.03,0.0,30,3.3182,0.0976,-0.1944,0.1263,0.802,-0.1647415274912961,-0.13068126679395753,0.14016250725478815,23
2011,100,0.03,0.0,31,3.371,0.0985,-0.1944,0.1264,0.808,-0.16474152749129634,-0.13068126679395753,0.13987231572838074,23
2011,100,0.03,0.25,28,3.9617,0.1074,-0.2241,0.1295,0.855,-0.21110798124506813,-0.08837329095080704,0.11607661056297155,23
2011,100,0.03,0.25,29,3.9244,0.1068,-0.2241,0.1304,0.846,-0.21110798124506847,-0.08837329095080704,0.11578641903656413,23
2011,100,0.03,0.25,30,4.039,0.1084,-0.2241,0.1305,0.857,-0.21110798124506824,-0.08837329095080704,0.11462565293093442,23
2011,100,0.03,0.25,31,4.1005,0.1093,-0.2241,0.1305,0.862,-0.21110798124506835,-0.08837329095080704,0.11114335461404527,23
2011,100,0.03,0.5,28,4.6783,0.1169,-0.2674,0.1419,0.852,-0.2570571860892146,-0.0880044013131226,0.07573998839233895,23
2011,100,0.03,0.5,29,4.6356,0.1164,-0.2674,0.1428,0.844,-0.25705718608921424,-0.07833677709382691,0.07399883923389437,23
2011,100,0.03,0.5,30,4.7668,0.118,-0.2674,0.1429,0.854,-0.2570571860892148,-0.07833677709382725,0.07196749854904237,23
