sample,resell,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,crash_buys
5y,73,15,0.3849,0.0674,-0.1608,0.1157,0.624,-0.15633130505202164,-0.06399264529483373,0.08266666666666667,14
5y,73,16,0.3849,0.0674,-0.1608,0.1157,0.624,-0.15633130505202164,-0.06399264529483373,0.08266666666666667,15
5y,73,17,0.4361,0.0752,-0.1659,0.1202,0.666,-0.15633130505202164,-0.06399264529483373,0.07733333333333334,21
5y,73,18,0.4361,0.0752,-0.1659,0.1202,0.666,-0.15633130505202164,-0.06399264529483373,0.07733333333333334,21
5y,73,19,0.447,0.0768,-0.1659,0.1203,0.678,-0.15633130505202153,-0.06399264529483362,0.07733333333333334,20
5y,73,20,0.4548,0.078,-0.1831,0.1248,0.666,-0.15633130505202153,-0.06399264529483362,0.07733333333333334,20
5y,73,21,0.527,0.0885,-0.2302,0.1412,0.674,-0.2080022161927687,-0.07740741601010581,0.042666666666666665,24
5y,73,22,0.527,0.0885,-0.2302,0.1412,0.674,-0.2080022161927687,-0.07740741601010581,0.042666666666666665,25
5y,73,23,0.6621,0.1071,-0.2302,0.1459,0.773,-0.20243989362376869,-0.007831225373365003,0.004,29
5y,73,24,0.7061,0.1129,-0.2302,0.1464,0.807,-0.20243989362376869,0.01116697197202754,0.0,31
5y,73,25,0.7009,0.1122,-0.2302,0.1467,0.802,-0.20914032188327736,0.008087140619497113,0.0,29
5y,73,26,0.7009,0.1122,-0.2302,0.1467,0.802,-0.20914032188327736,0.008087140619497113,0.0,29
5y,73,27,0.7286,0.1158,-0.2302,0.147,0.822,-0.20914032188327736,0.024504307529730207,0.0,33
5y,73,28,0.8445,0.1304,-0.2302,0.1533,0.88,-0.20914032188327736,0.024504307529730207,0.0,37
5y,73,29,0.8399,0.1299,-0.2302,0.1533,0.877,-0.20914032188327736,0.024504307529730207,0.0,36
5y,73,30,0.8463,0.1306,-0.2302,0.1533,0.881,-0.20914032188327736,0.024504307529730207,0.0,32
5y,73,31,0.8571,0.132,-0.2302,0.1534,0.888,-0.20914032188327736,0.024504307529730207,0.0,29
5y,73,32,0.7766,0.122,-0.2302,0.1541,0.827,-0.22922872952980722,-0.0015188426380619013,0.0013333333333333333,31
5y,73,33,0.7766,0.122,-0.2302,0.1541,0.827,-0.22922872952980722,-0.0015188426380619013,0.0013333333333333333,32
5y,73,34,0.7707,0.1212,-0.2302,0.1543,0.822,-0.22922872952980722,-0.01030033597092117,0.004,31
5y,73,35,0.7707,0.1212,-0.2302,0.1543,0.822,-0.22922872952980722,-0.01030033597092117,0.004,28
5y,73,36,0.7624,0.1202,-0.2302,0.1543,0.816,-0.22922872952980722,-0.01030033597092117,0.004,30
5y,73,37,0.7624,0.1202,-0.2302,0.1543,0.816,-0.22922872952980722,-0.01030033597092117,0.004,35
5y,73,38,0.7737,0.1216,-0.2302,0.1543,0.824,-0.22922872952980722,-0.003992338957428676,0.0026666666666666666,39
5y,73,39,0.7555,0.1193,-0.2302,0.1544,0.81,-0.22922872952980722,-0.003992338957428676,0.0026666666666666666,42
5y,73,40,0.7555,0.1193,-0.2302,0.1544,0.81,-0.22922872952980722,-0.003992338957428676,0.0026666666666666666,44
