base,resell_level,crash_level,crash_frac,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
A,80,20,1.0,0.6215,0.1016,-0.364,0.2154,0.559
A,80,25,0.25,0.7422,0.1176,-0.364,0.2177,0.622
A,80,25,0.5,0.7863,0.1232,-0.364,0.2191,0.642
A,80,25,0.75,0.8105,0.1262,-0.364,0.2195,0.653
A,80,25,1.0,0.8281,0.1284,-0.364,0.2197,0.662
A,80,30,0.25,0.7784,0.1222,-0.364,0.2187,0.639
A,80,30,0.5,0.832,0.1289,-0.364,0.2197,0.664
A,80,30,0.75,0.8664,0.1331,-0.364,0.22,0.68
A,80,30,1.0,0.8961,0.1367,-0.364,0.2203,0.694
A,80,35,0.25,0.8112,0.1263,-0.364,0.2193,0.654
A,80,35,0.5,0.8489,0.131,-0.364,0.2201,0.671
A,80,35,0.75,0.8633,0.1327,-0.364,0.2204,0.678
A,80,35,1.0,0.8674,0.1332,-0.364,0.2206,0.68
A,80,40,0.25,0.8343,0.1292,-0.364,0.2197,0.665
A,80,40,0.5,0.8566,0.1319,-0.364,0.2204,0.675
A,80,40,0.75,0.864,0.1328,-0.364,0.2206,0.678
A,80,40,1.0,0.8684,0.1333,-0.364,0.2207,0.68
A,85,10,0.25,0.7786,0.1222,-0.3613,0.2275,0.623
A,85,10,0.5,0.7958,0.1244,-0.364,0.2278,0.631
A,85,10,0.75,0.8087,0.126,-0.364,0.228,0.637
A,85,10,1.0,0.8117,0.1264,-0.364,0.2281,0.638
A,85,15,0.25,0.7941,0.1242,-0.364,0.2281,0.629
A,85,15,0.5,0.801,0.125,-0.364,0.2283,0.632
A,85,15,0.75,0.7998,0.1249,-0.364,0.2284,0.631
A,85,15,1.0,0.8006,0.125,-0.364,0.2285,0.632
A,85,20,0.25,0.8002,0.1249,-0.364,0.2281,0.632
A,85,20,0.5,0.802,0.1252,-0.364,0.2283,0.633
A,85,20,0.75,0.7998,0.1249,-0.364,0.2284,0.631
A,85,20,1.0,0.8006,0.125,-0.364,0.2285,0.632
A,85,25,0.25,0.7961,0.1244,-0.364,0.2283,0.63
A,85,25,0.5,0.7949,0.1243,-0.364,0.2284,0.629
A,85,25,0.75,0.7978,0.1246,-0.364,0.2284,0.63
A,85,25,1.0,0.8006,0.125,-0.364,0.2285,0.632
A,85,30,0.25,0.7965,0.1245,-0.364,0.2283,0.63
A,85,30,0.5,0.7949,0.1243,-0.364,0.2284,0.629
A,85,30,0.75,0.7978,0.1246,-0.364,0.2284,0.63
A,85,30,1.0,0.8006,0.125,-0.364,0.2285,0.632
A,85,35,0.25,0.7966,0.1245,-0.364,0.2283,0.63
A,85,35,0.5,0.7949,0.1243,-0.364,0.2284,0.629
A,85,35,0.75,0.7978,0.1246,-0.364,0.2284,0.63
A,85,35,1.0,0.8006,0.125,-0.364,0.2285,0.632
A,85,40,0.25,0.7966,0.1245,-0.364,0.2283,0.63
A,85,40,0.5,0.7949,0.1243,-0.364,0.2284,0.629
A,85,40,0.75,0.7978,0.1246,-0.364,0.2284,0.63
A,85,40,1.0,0.8006,0.125,-0.364,0.2285,0.632
A,90,10,0.25,0.7786,0.1222,-0.3613,0.2275,0.623
A,90,10,0.5,0.7958,0.1244,-0.364,0.2278,0.631
A,90,10,0.75,0.8087,0.126,-0.364,0.228,0.637
A,90,10,1.0,0.8117,0.1264,-0.364,0.2281,0.638
A,90,15,0.25,0.7941,0.1242,-0.364,0.2281,0.629
A,90,15,0.5,0.801,0.125,-0.364,0.2283,0.632
A,90,15,0.75,0.7998,0.1249,-0.364,0.2284,0.631
A,90,15,1.0,0.8006,0.125,-0.364,0.2285,0.632
A,90,20,0.25,0.8002,0.1249,-0.364,0.2281,0.632
A,90,20,0.5,0.802,0.1252,-0.364,0.2283,0.633
A,90,20,0.75,0.7998,0.1249,-0.364,0.2284,0.631
A,90,20,1.0,0.8006,0.125,-0.364,0.2285,0.632
A,90,25,0.25,0.7961,0.1244,-0.364,0.2283,0.63
A,90,25,0.5,0.7949,0.1243,-0.364,0.2284,0.629
A,90,25,0.75,0.7978,0.1246,-0.364,0.2284,0.63
A,90,25,1.0,0.8006,0.125,-0.364,0.2285,0.632
A,90,30,0.25,0.7965,0.1245,-0.364,0.2283,0.63
