ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
100,0.0,0.0,28,2.7605,0.088,-0.312,0.1579,0.649
100,0.0,0.0,29,2.7898,0.0885,-0.312,0.1588,0.65
100,0.0,0.0,30,2.8063,0.0888,-0.312,0.1589,0.652
100,0.0,0.0,31,2.8429,0.0895,-0.312,0.1589,0.656
100,0.0,0.25,28,2.8186,0.089,-0.3113,0.1617,0.644
100,0.0,0.25,29,2.8484,0.0896,-0.3113,0.1626,0.645
100,0.0,0.25,30,2.8651,0.0899,-0.3113,0.1626,0.647
100,0.0,0.25,31,2.9023,0.0906,-0.3113,0.1627,0.651
100,0.0,0.5,28,2.764,0.0881,-0.3415,0.1728,0.608
100,0.0,0.5,29,2.7933,0.0886,-0.3415,0.1736,0.609
100,0.0,0.5,30,2.8097,0.0889,-0.3415,0.1736,0.611
100,0.0,0.5,31,2.8464,0.0896,-0.3415,0.1737,0.614
100,0.0,0.75,28,2.6761,0.0864,-0.3748,0.1906,0.559
100,0.0,0.75,29,2.7047,0.087,-0.3748,0.1913,0.561
100,0.0,0.75,30,2.7208,0.0873,-0.3748,0.1913,0.562
100,0.0,0.75,31,2.7567,0.0879,-0.3748,0.1914,0.566
100,0.02,0.0,28,1.7639,0.0669,-0.4277,0.1662,0.499
100,0.02,0.0,29,1.7855,0.0674,-0.4277,0.1671,0.501
100,0.02,0.0,30,1.8017,0.0678,-0.4277,0.1672,0.503
100,0.02,0.0,31,1.8284,0.0684,-0.4277,0.1673,0.507
100,0.02,0.25,28,2.0197,0.0729,-0.3999,0.1697,0.528
100,0.02,0.25,29,2.0432,0.0734,-0.3999,0.1705,0.529
100,0.02,0.25,30,2.061,0.0738,-0.3999,0.1706,0.531
100,0.02,0.25,31,2.0902,0.0745,-0.3999,0.1707,0.535
100,0.02,0.5,28,2.2414,0.0777,-0.4025,0.1798,0.535
100,0.02,0.5,29,2.2666,0.0783,-0.4025,0.1805,0.536
100,0.02,0.5,30,2.2856,0.0787,-0.4025,0.1807,0.538
100,0.02,0.5,31,2.3169,0.0793,-0.4025,0.1807,0.542
100,0.02,0.75,28,2.4721,0.0825,-0.4053,0.1958,0.53
100,0.02,0.75,29,2.4992,0.083,-0.4053,0.1965,0.531
100,0.02,0.75,30,2.5195,0.0834,-0.4053,0.1966,0.533
100,0.02,0.75,31,2.5531,0.0841,-0.4053,0.1966,0.536
100,0.03,0.0,28,1.6194,0.0632,-0.4268,0.168,0.474
100,0.03,0.0,29,1.7781,0.0672,-0.4268,0.1692,0.496
