ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
100,0.0,0.75,28,0.0308,0.0061,-0.2448,0.1248,0.113
100,0.0,0.75,29,0.1264,0.0242,-0.2448,0.1579,0.235
100,0.0,0.75,30,0.1264,0.0242,-0.2448,0.1579,0.235
100,0.0,0.75,31,0.1264,0.0242,-0.2448,0.1579,0.235
100,0.02,0.0,28,0.0211,0.0042,-0.1425,0.1027,0.093
100,0.02,0.0,29,0.1399,0.0266,-0.1545,0.1379,0.266
100,0.02,0.0,30,0.119,0.0228,-0.1715,0.1408,0.236
100,0.02,0.0,31,0.119,0.0228,-0.1715,0.1408,0.236
100,0.02,0.25,28,0.0416,0.0082,-0.1669,0.11,0.132
100,0.02,0.25,29,0.1628,0.0307,-0.1669,0.1434,0.29
100,0.02,0.25,30,0.1416,0.0269,-0.1761,0.1462,0.261
100,0.02,0.25,31,0.1416,0.0269,-0.1761,0.1462,0.261
100,0.02,0.5,28,0.0462,0.0091,-0.2026,0.1201,0.138
100,0.02,0.5,29,0.1836,0.0344,-0.2026,0.1573,0.3
100,0.02,0.5,30,0.162,0.0306,-0.2026,0.1599,0.274
100,0.02,0.5,31,0.162,0.0306,-0.2026,0.1599,0.274
100,0.02,0.75,28,0.0299,0.0059,-0.2448,0.1295,0.112
100,0.02,0.75,29,0.1877,0.0351,-0.2448,0.1657,0.298
100,0.02,0.75,30,0.1743,0.0328,-0.2448,0.1699,0.281
100,0.02,0.75,31,0.1743,0.0328,-0.2448,0.1699,0.281
100,0.03,0.0,28,0.0488,0.0096,-0.1647,0.105,0.147
100,0.03,0.0,29,0.1725,0.0324,-0.1647,0.1396,0.306
100,0.03,0.0,30,0.1598,0.0302,-0.1647,0.1426,0.287
100,0.03,0.0,31,0.1598,0.0302,-0.1647,0.1426,0.287
100,0.03,0.25,28,0.0563,0.0111,-0.1889,0.1119,0.157
100,0.03,0.25,29,0.1809,0.0339,-0.1889,0.1449,0.31
100,0.03,0.25,30,0.1681,0.0317,-0.1889,0.1478,0.292
100,0.03,0.25,31,0.1681,0.0317,-0.1889,0.1478,0.292
100,0.03,0.5,28,0.0485,0.0095,-0.2168,0.1213,0.142
100,0.03,0.5,29,0.1868,0.0349,-0.2168,0.1582,0.303
100,0.03,0.5,30,0.1739,0.0327,-0.2168,0.1609,0.287
100,0.03,0.5,31,0.1739,0.0327,-0.2168,0.1609,0.287
100,0.03,0.75,28,0.03,0.006,-0.2448,0.1302,0.112
100,0.03,0.75,29,0.1885,0.0352,-0.2448,0.1662,0.298
100,0.03,0.75,30,0.1751,0.0329,-0.2448,0.1704,0.281
100,0.03,0.75,31,0.1751,0.0329,-0.2448,0.1704,0.281
100,0.05,0.0,28,-0.0309,-0.0063,-0.1687,0.1069,-0.007
100,0.05,0.0,29,0.0543,0.0107,-0.1821,0.1423,0.148
100,0.05,0.0,30,0.0429,0.0085,-0.1821,0.1453,0.133
100,0.05,0.0,31,0.0429,0.0085,-0.1821,0.1453,0.133
100,0.05,0.25,28,0.0318,0.0063,-0.1918,0.1136,0.114
100,0.05,0.25,29,0.1225,0.0234,-0.1918,0.1474,0.236
100,0.05,0.25,30,0.1103,0.0212,-0.1918,0.1503,0.219
100,0.05,0.25,31,0.1103,0.0212,-0.1918,0.1503,0.219
100,0.05,0.5,28,0.0331,0.0065,-0.2187,0.1217,0.116
100,0.05,0.5,29,0.1694,0.0319,-0.2187,0.1586,0.283
100,0.05,0.5,30,0.1567,0.0296,-0.2187,0.1613,0.267
100,0.05,0.5,31,0.1567,0.0296,-0.2187,0.1613,0.267
100,0.05,0.75,28,0.0225,0.0045,-0.2456,0.1305,0.101
100,0.05,0.75,29,0.1798,0.0337,-0.2456,0.1664,0.289
100,0.05,0.75,30,0.1665,0.0314,-0.2456,0.1706,0.272
100,0.05,0.75,31,0.1665,0.0314,-0.2456,0.1706,0.272
125,0.0,0.0,28,-0.0788,-0.0163,-0.1554,0.1042,-0.111
125,0.0,0.0,29,-0.0314,-0.0064,-0.2113,0.1384,0.022
125,0.0,0.0,30,-0.0312,-0.0063,-0.2113,0.1411,0.024
125,0.0,0.0,31,-0.0312,-0.0063,-0.2113,0.1411,0.024
125,0.0,0.25,28,0.0005,0.0001,-0.155,0.1106,0.056
125,0.0,0.25,29,0.0537,0.0106,-0.1884,0.1433,0.147
125,0.0,0.25,30,0.0539,0.0106,-0.1884,0.1459,0.148
125,0.0,0.25,31,0.0539,0.0106,-0.1884,0.1459,0.148
125,0.0,0.5,28,0.0147,0.0029,-0.197,0.1194,0.085
125,0.0,0.5,29,0.1089,0.021,-0.197,0.1537,0.216
125,0.0,0.5,30,0.1107,0.0213,-0.197,0.1564,0.217
125,0.0,0.5,31,0.1107,0.0213,-0.197,0.1564,0.217
125,0.0,0.75,28,0.012,0.0024,-0.2451,0.1289,0.084
125,0.0,0.75,29,0.1059,0.0204,-0.2451,0.1612,0.21
125,0.0,0.75,30,0.1172,0.0225,-0.2451,0.1657,0.221
125,0.0,0.75,31,0.1172,0.0225,-0.2451,0.1657,0.221
125,0.02,0.0,28,-0.0655,-0.0135,-0.1512,0.107,-0.077
125,0.02,0.0,29,-0.0216,-0.0044,-0.2115,0.1407,0.038
125,0.02,0.0,30,-0.0152,-0.0031,-0.2115,0.1435,0.05
125,0.02,0.0,31,-0.0152,-0.0031,-0.2115,0.1435,0.05
125,0.02,0.25,28,0.0098,0.002,-0.1701,0.113,0.074
125,0.02,0.25,29,0.0601,0.0118,-0.1874,0.1452,0.156
125,0.02,0.25,30,0.067,0.0131,-0.1874,0.1479,0.165
125,0.02,0.25,31,0.067,0.0131,-0.1874,0.1479,0.165
125,0.02,0.5,28,0.0178,0.0035,-0.2037,0.1215,0.091
125,0.02,0.5,29,0.112,0.0215,-0.2037,0.1552,0.219
125,0.02,0.5,30,0.1193,0.0229,-0.2037,0.1581,0.226
125,0.02,0.5,31,0.1193,0.0229,-0.2037,0.1581,0.226
125,0.02,0.75,28,0.0154,0.0031,-0.2451,0.1303,0.09
125,0.02,0.75,29,0.1094,0.021,-0.2451,0.1623,0.213
125,0.02,0.75,30,0.1207,0.0231,-0.2451,0.1668,0.225
125,0.02,0.75,31,0.1207,0.0231,-0.2451,0.1668,0.225
125,0.03,0.0,28,-0.1212,-0.0256,-0.1904,0.1082,-0.193
125,0.03,0.0,29,-0.0558,-0.0114,-0.2202,0.1446,-0.01
125,0.03,0.0,30,-0.0698,-0.0144,-0.2318,0.1473,-0.028
125,0.03,0.0,31,-0.0698,-0.0144,-0.2318,0.1473,-0.028
125,0.03,0.25,28,-0.0241,-0.0049,-0.1916,0.114,0.013
125,0.03,0.25,29,0.0512,0.0101,-0.2101,0.1488,0.144
125,0.03,0.25,30,0.0355,0.007,-0.2219,0.1515,0.124
125,0.03,0.25,31,0.0355,0.007,-0.2219,0.1515,0.124
125,0.03,0.5,28,0.0008,0.0002,-0.2179,0.1221,0.062
125,0.03,0.5,29,0.1332,0.0254,-0.2179,0.1588,0.242
125,0.03,0.5,30,0.1163,0.0223,-0.2179,0.1613,0.222
125,0.03,0.5,31,0.1163,0.0223,-0.2179,0.1613,0.222
125,0.03,0.75,28,0.007,0.0014,-0.2452,0.1307,0.076
125,0.03,0.75,29,0.162,0.0306,-0.2452,0.1665,0.27
125,0.03,0.75,30,0.1489,0.0282,-0.2452,0.1707,0.254
125,0.03,0.75,31,0.1489,0.0282,-0.2452,0.1707,0.254
125,0.05,0.0,28,-0.0712,-0.0147,-0.1848,0.1104,-0.083
125,0.05,0.0,29,0.0075,0.0015,-0.2091,0.1463,0.084
125,0.05,0.0,30,-0.0075,-0.0015,-0.2091,0.1491,0.064
125,0.05,0.0,31,-0.0075,-0.0015,-0.2091,0.1491,0.064
125,0.05,0.25,28,0.0066,0.0013,-0.1945,0.1158,0.07
125,0.05,0.25,29,0.0923,0.0179,-0.1945,0.1503,0.197
125,0.05,0.25,30,0.076,0.0148,-0.1988,0.153,0.176
125,0.05,0.25,31,0.076,0.0148,-0.1988,0.153,0.176
125,0.05,0.5,28,0.0203,0.004,-0.2198,0.1234,0.095
125,0.05,0.5,29,0.1553,0.0294,-0.2198,0.1598,0.267
125,0.05,0.5,30,0.1381,0.0263,-0.2198,0.1623,0.246
125,0.05,0.5,31,0.1381,0.0263,-0.2198,0.1623,0.246
125,0.05,0.75,28,0.0167,0.0033,-0.2461,0.1314,0.092
125,0.05,0.75,29,0.1732,0.0326,-0.2461,0.1671,0.281
125,0.05,0.75,30,0.16,0.0302,-0.2461,0.1713,0.265
125,0.05,0.75,31,0.16,0.0302,-0.2461,0.1713,0.265
150,0.0,0.0,28,-0.0854,-0.0177,-0.1788,0.104,-0.126
150,0.0,0.0,29,-0.044,-0.009,-0.2151,0.1387,0.002
150,0.0,0.0,30,-0.0442,-0.009,-0.2151,0.1414,0.005
150,0.0,0.0,31,-0.0442,-0.009,-0.2151,0.1414,0.005
150,0.0,0.25,28,-0.0006,-0.0001,-0.1913,0.11,0.054
150,0.0,0.25,29,0.0461,0.0091,-0.1913,0.1432,0.137
150,0.0,0.25,30,0.0459,0.009,-0.1913,0.1458,0.137
150,0.0,0.25,31,0.0459,0.009,-0.1913,0.1458,0.137
150,0.0,0.5,28,0.0156,0.0031,-0.2175,0.1188,0.086
150,0.0,0.5,29,0.1099,0.0211,-0.2175,0.1533,0.217
150,0.0,0.5,30,0.1106,0.0213,-0.2175,0.1559,0.217
150,0.0,0.5,31,0.1106,0.0213,-0.2175,0.1559,0.217
150,0.0,0.75,28,0.012,0.0024,-0.25,0.1288,0.084
150,0.0,0.75,29,0.106,0.0204,-0.25,0.1611,0.21
150,0.0,0.75,30,0.1172,0.0225,-0.25,0.1656,0.221
150,0.0,0.75,31,0.1172,0.0225,-0.25,0.1656,0.221
150,0.02,0.0,28,-0.0997,-0.0208,-0.1916,0.1078,-0.148
150,0.02,0.0,29,-0.0431,-0.0088,-0.1995,0.1419,0.007
150,0.02,0.0,30,-0.0446,-0.0091,-0.1995,0.1449,0.007
150,0.02,0.0,31,-0.0446,-0.0091,-0.1995,0.1449,0.007
150,0.02,0.25,28,-0.0305,-0.0062,-0.1918,0.1132,-0.0
150,0.02,0.25,29,0.0302,0.006,-0.1918,0.1459,0.115
150,0.02,0.25,30,0.0286,0.0057,-0.1918,0.1488,0.114
150,0.02,0.25,31,0.0286,0.0057,-0.1918,0.1488,0.114
150,0.02,0.5,28,-0.0021,-0.0004,-0.2179,0.1215,0.057
150,0.02,0.5,29,0.0903,0.0175,-0.2179,0.1553,0.193
150,0.02,0.5,30,0.0895,0.0173,-0.2179,0.1583,0.191
150,0.02,0.5,31,0.0895,0.0173,-0.2179,0.1583,0.191
150,0.02,0.75,28,0.0057,0.0011,-0.25,0.1304,0.074
150,0.02,0.75,29,0.0988,0.0191,-0.25,0.1624,0.201
150,0.02,0.75,30,0.11,0.0212,-0.25,0.1669,0.213
150,0.02,0.75,31,0.11,0.0212,-0.25,0.1669,0.213
150,0.03,0.0,28,-0.1394,-0.0297,-0.2388,0.1094,-0.229
150,0.03,0.0,29,-0.0587,-0.0121,-0.267,0.1463,-0.012
150,0.03,0.0,30,-0.0797,-0.0165,-0.2834,0.1492,-0.041
150,0.03,0.0,31,-0.0797,-0.0165,-0.2834,0.1492,-0.041
150,0.03,0.25,28,-0.0628,-0.0129,-0.2147,0.1143,-0.06
150,0.03,0.25,29,0.024,0.0048,-0.2439,0.1499,0.108
150,0.03,0.25,30,0.0012,0.0002,-0.2607,0.1527,0.078
150,0.03,0.25,31,0.0012,0.0002,-0.2607,0.1527,0.078
150,0.03,0.5,28,-0.0198,-0.004,-0.2233,0.1222,0.027
150,0.03,0.5,29,0.1038,0.02,-0.2233,0.159,0.208
150,0.03,0.5,30,0.0792,0.0154,-0.2382,0.1616,0.178
150,0.03,0.5,31,0.0792,0.0154,-0.2382,0.1616,0.178
150,0.03,0.75,28,-0.0026,-0.0005,-0.25,0.131,0.061
150,0.03,0.75,29,0.1473,0.0279,-0.25,0.1668,0.254
150,0.03,0.75,30,0.1344,0.0256,-0.25,0.171,0.238
150,0.03,0.75,31,0.1344,0.0256,-0.25,0.171,0.238
150,0.05,0.0,28,-0.1278,-0.027,-0.2264,0.1121,-0.196
150,0.05,0.0,29,-0.0461,-0.0094,-0.2552,0.1483,0.008
150,0.05,0.0,30,-0.0696,-0.0144,-0.2736,0.1512,-0.023
150,0.05,0.0,31,-0.0696,-0.0144,-0.2736,0.1512,-0.023
150,0.05,0.25,28,-0.0491,-0.0101,-0.2261,0.1169,-0.031
150,0.05,0.25,29,0.0383,0.0076,-0.2318,0.1518,0.127
150,0.05,0.25,30,0.0127,0.0025,-0.2507,0.1546,0.094
150,0.05,0.25,31,0.0127,0.0025,-0.2507,0.1546,0.094
150,0.05,0.5,28,-0.0083,-0.0017,-0.2409,0.1241,0.048
150,0.05,0.5,29,0.1183,0.0227,-0.2409,0.1604,0.224
150,0.05,0.5,30,0.0907,0.0176,-0.2409,0.1631,0.192
150,0.05,0.5,31,0.0907,0.0176,-0.2409,0.1631,0.192
150,0.05,0.75,28,0.0034,0.0007,-0.2566,0.132,0.071
150,0.05,0.75,29,0.1549,0.0293,-0.2566,0.1676,0.262
150,0.05,0.75,30,0.1419,0.027,-0.2566,0.1718,0.246
150,0.05,0.75,31,0.1419,0.027,-0.2566,0.1718,0.246
175,0.0,0.0,28,-0.1082,-0.0227,-0.2097,0.1073,-0.167
175,0.0,0.0,29,-0.0424,-0.0087,-0.2097,0.1419,0.008
175,0.0,0.0,30,-0.0476,-0.0097,-0.2116,0.1448,0.003
175,0.0,0.0,31,-0.0476,-0.0097,-0.2116,0.1448,0.003
175,0.0,0.25,28,-0.0403,-0.0082,-0.2145,0.1127,-0.019
