date,fg,fg_rating,close,fwd_ret_1w,fwd_ret_1m,fwd_ret_3m,fwd_ret_6m,fwd_ret_12m,fg_chg_5d
2021-08-13,47.13333333333333,neutral,14822.900390625,-0.007302230435513035,0.014495096731264034,0.059460689850546755,-0.0696051361616481,-0.1143400104752399,15.26666666666667
2021-08-16,44.866666666666674,fear,14793.759765625,0.010064420901707782,0.024859840475918604,0.07213853761450562,-0.06778803087503238,-0.1143191445400662,12.800000000000004
2021-08-17,31.7,fear,14656.1796875,0.024810020410545697,0.035871574010749585,0.08171774278234811,-0.035235643454579524,-0.11722424308005741,-3.1333333333333364
2021-08-18,18.2,extreme fear,14525.91015625,0.03551930238880785,0.03566451704161189,0.09968051431803038,-0.02766231569504174,-0.10743356496863232,-19.733333333333338
2021-08-19,14.883333333333336,extreme fear,14541.7900390625,0.027783342364640973,0.011835568461666224,0.09488379833095517,-0.05673787823119969,-0.12629602735059176,-28.249999999999996
2021-08-20,23.86666666666667,extreme fear,14714.66015625,0.028192281666375996,0.0021570484155231107,0.0869235028947799,-0.07928078741624867,-0.15855546910195062,-23.266666666666662
2021-08-23,30.433333333333334,fear,14942.650390625,0.02163198959772883,-0.00306510425210349,0.07460457214216287,-0.10447483000435132,-0.17141206673378961,-14.43333333333334
2021-08-24,34.4,fear,15019.7998046875,0.015941652538722595,0.0021598443460861816,0.055590618503245315,-0.13197975978973064,-0.17232383686247488,2.6999999999999993
2021-08-25,36.03333333333333,fear,15041.8603515625,0.01778500298483432,0.0003882394606458117,0.04874924242989853,-0.10426040869669373,-0.15972697287160542,17.833333333333332
2021-08-26,36.833333333333336,fear,14945.8095703125,0.025784492661607095,0.0016165170669637519,0.060178800901093954,-0.08371506723933453,-0.18761777983207428,21.95
2021-08-27,47.46666666666667,neutral,15129.5,0.015467763723189698,-0.03852211325556032,0.02393735128391561,-0.09108692351862258,-0.20567963766978414,23.599999999999998
2021-08-30,47.86666666666667,neutral,15265.8896484375,0.0071034464538133335,-0.049355080909229354,0.03386245031192203,-0.11354920855709316,-0.22158878898657786,17.433333333333334
2021-08-31,47.23333333333333,neutral,15259.240234375,0.0017955949078498623,-0.05312585317477336,0.018247972443950822,-0.09877429544163241,-0.22563640038291344,12.833333333333329
2021-09-01,43.13333333333333,fear,15309.3798828125,-0.003992969230656396,-0.04851141543190718,-0.003614129282082712,-0.11570941910676313,-0.23020200863632612,7.100000000000001
2021-09-02,44.16666666666666,fear,15331.1796875,-0.01406867948334456,-0.07016415179237978,0.003270500119497033,-0.1316101760556383,-0.24135907421100078,7.3333333333333215
2021-09-03,44.06666666666666,fear,15363.51953125,-0.0167890861596095,-0.0605127914364918,-0.01809805390763075,-0.1648424090040811,-0.24855042929667248,-3.4000000000000057
2021-09-07,41.7,fear,15374.330078125,-0.02189170590131151,-0.05674523165834078,-0.0097031666903169,-0.1677328547216933,-0.23301370981992742,-6.166666666666664
2021-09-08,38.56666666666667,fear,15286.6396484375,-0.008184230012433624,-0.041383857521110734,0.026184974765099067,-0.1328669930384344,-0.2240197874995392,-8.666666666666657
2021-09-09,33.800000000000004,fear,15248.25,-0.00435001250143463,-0.04385486602970834,0.03533128289311893,-0.13892020651960058,-0.2056590382297968,-9.333333333333329
2021-09-10,20.600000000000005,extreme fear,15115.490234375,-0.004731603587017741,-0.041632128981923144,0.026587287384074454,-0.15028825587782402,-0.18848744129024309,-23.566666666666652
2021-09-13,28.266666666666666,fear,15105.580078125,-0.025929470134497312,-0.042345951161208095,0.03475666134862987,-0.1671144264905211,-0.22984948261953586,-15.799999999999997
2021-09-14,24.8,extreme fear,15037.759765625,-0.01937518483743983,-0.030996646073107925,0.024971838469644014,-0.13892625504053402,-0.22064989265953294,-16.900000000000002
2021-09-15,31.200000000000003,fear,15161.5302734375,-0.017457384531046394,-0.022299898482532554,0.005019900605504279,-0.11377350687167176,-0.23804786566947966,-7.366666666666667
2021-09-16,31.500000000000004,fear,15181.919921875,-0.008541718581531299,-0.018744669948822512,0.02527085890482139,-0.10322407551231205,-0.24591880015586998,-2.3000000000000007
2021-09-17,17.933333333333337,extreme fear,15043.9697265625,0.00024797103542506527,-0.0014730258470856405,0.009070741527521076,-0.07645122289642503,-0.23324629463438062,-2.666666666666668
2021-09-20,11.1,extreme fear,14713.900390625,0.017403226142583827,0.028217497883126885,0.030976103193236293,-0.05949750959611555,-0.22351997081841057,-17.166666666666664
2021-09-21,11.449999999999998,extreme fear,14746.400390625,-0.013543691872897501,0.02544887477174318,0.015904901050401987,-0.04323631945666828,-0.23912343809539327,-13.350000000000003
2021-09-22,20.03333333333333,extreme fear,14896.849609375,-0.025804729843387886,0.02140389372910345,0.029821086070133118,-0.06539973387305176,-0.25710402799878906,-11.166666666666671
2021-09-23,24.5,extreme fear,15052.240234375,-0.040104339742825346,0.0025218811516714013,0.03120129673388794,-0.05716095260425702,-0.27798589988746225,-7.0000000000000036
2021-09-24,23.83333333333334,extreme fear,15047.7001953125,-0.031965017494821946,0.011896154448954421,0.040249999269899916,-0.05837439470641703,-0.28208830707298305,5.900000000000002
2021-09-27,24.766666666666666,extreme fear,14969.9697265625,-0.04772816985359163,0.017751554560826888,0.06020653718913427,-0.04108687907672448,-0.2765850434029743,13.666666666666666
2021-09-28,12.466666666666669,extreme fear,14546.6796875,-0.007757757220156036,0.04737577035137419,0.08490185152861884,0.005015574860027572,-0.2402637656252098,1.016666666666671
2021-09-29,12.483333333333334,extreme fear,14512.4404296875,-0.0007256032152910263,0.06447431719243579,0.08639341556298108,-0.0048352238741290465,-0.2601168757489113,-7.549999999999997
2021-09-30,9.966666666666669,extreme fear,14448.580078125,0.014218660381446924,0.07265832106934167,0.08948834315872034,-0.015784287842947387,-0.26805125071086544,-14.533333333333331
2021-10-01,18.33333333333333,extreme fear,14566.7001953125,0.000881451775476938,0.0706556538380394,0.07402290956719093,-0.020951910262470563,-0.25752369840217093,-5.500000000000011
2021-10-04,9.500000000000002,extreme fear,14255.48046875,0.016184633486627797,0.09779531063025915,0.11064652218458737,0.019435987201194216,-0.21599204034194086,-15.266666666666664
2021-10-05,18.766666666666666,extreme fear,14433.830078125,0.0022232382933919936,0.0954528349400503,0.0823682724545376,-0.01591124150741241,-0.22760351285181935,6.299999999999997
2021-10-06,20.066666666666663,extreme fear,14501.91015625,0.0048082970750888965,0.09918689321369034,0.04125385960739547,-0.04227648890003444,-0.2364240675191226,7.583333333333329
2021-10-07,24.600000000000005,extreme fear,14654.01953125,0.01156066128400668,0.08991187091638952,0.029127900328115075,-0.051639055410618195,-0.27307314092843016,14.633333333333336
